0,1.000000
0.1,1.796807
0.2,1.734633
0.3,0.762730
0.4,-0.394445
0.5,-0.888187
0.6,-0.506618
0.7,0.152140
0.8,0.251965
0.9,-0.491954
1,-1.534014
1.1,-1.987470
1.2,-1.433331
1.3,-0.305765
1.4,0.500347
1.5,0.439492
1.6,-0.200404
1.7,-0.583420
1.8,-0.116294
1.9,0.984590
2,1.873116
2.1,1.836514
2.2,0.941381
2.3,-0.030495
2.4,-0.297227
2.5,0.214284
2.6,0.816514
2.7,0.712832
2.8,-0.248383
2.9,-1.412281
3,-1.899162
3.1,-1.396263
3.2,-0.433261
3.3,0.110721
3.4,-0.185183
3.5,-0.903720
3.6,-1.186109
3.7,-0.539302
3.8,0.689859
3.9,1.611392
4,1.588967
4.1,0.806110
4.2,0.082913
4.3,0.113085
4.4,0.823586
4.5,1.445824
4.6,1.232603
4.7,0.160732
4.8,-1.028072
4.9,-1.487337
5,-1.022063
5.1,-0.247702
5.2,-0.007550
5.3,-0.585692
5.4,-1.440162
5.5,-1.702152
5.6,-0.982230
5.7,0.258356
5.8,1.113816
5.9,1.045631
6,0.355506
6.1,-0.113361
6.2,0.229841
6.3,1.166084
6.4,1.859246
6.5,1.622644
6.6,0.554771
6.7,-0.540619
6.8,-0.877577
6.9,-0.390802
7,0.226161
7.1,0.180540
7.2,-0.670648
7.3,-1.672621
7.4,-1.963416
7.5,-1.261086
7.6,-0.124222
7.7,0.553830
7.8,0.352740
7.9,-0.306496
8,-0.569710
8.1,0.042962
8.2,1.174647
8.3,1.941402
8.4,1.730929
8.5,0.757239
8.6,-0.137937
8.7,-0.254259
8.8,0.334296
8.9,0.863607
9,0.601858
9.1,-0.455732
9.2,-1.560589
9.3,-1.879034
9.4,-1.242490
9.5,-0.291384
9.6,0.118598
9.7,-0.298460
9.8,-1.003957
9.9,-1.143828
10,-0.352114
10.1,0.891371
10.2,1.680021
10.3,1.492825
10.4,0.655156
10.5,0.025933
10.6,0.200004
10.7,0.959787
10.8,1.480453
10.9,1.099553
11,-0.057519
11.1,-1.172729
11.2,-1.465546
11.3,-0.888693
11.4,-0.151787
11.5,-0.052911
11.6,-0.734084
11.7,-1.546129
11.8,-1.647566
11.9,-0.786743
12,0.452647
12.1,1.169658
12.2,0.953101
12.3,0.237440
12.4,-0.117679
12.5,0.364202
12.6,1.324906
12.7,1.893345
12.8,1.893345
